imdbID,Director
tt0111161,Frank Darabont
tt0068646,Francis Ford Coppola
tt0071562,Francis Ford Coppola
tt0468569,Christopher Nolan
tt0050083,Sidney Lumet
tt0108052,Steven Spielberg
tt0167260,Peter Jackson
tt0110912,Quentin Tarantino
tt0060196,Sergio Leone
tt0120737,Peter Jackson
tt0137523,David Fincher
tt0109830,Robert Zemeckis
tt1375666,Christopher Nolan
tt0080684,Irvin Kershner
tt0167261,Peter Jackson
tt0133093,"Lana Wachowski, Lilly Wachowski"
tt0099685,Martin Scorsese
tt0073486,Milos Forman
tt0047478,Akira Kurosawa
tt0114369,David Fincher
tt0118799,Roberto Benigni
tt0317248,"Fernando Meirelles, Kátia Lund(co-director)"
tt0102926,Jonathan Demme
tt0038650,Frank Capra
tt0076759,George Lucas
tt0120815,Steven Spielberg
tt0245429,Hayao Miyazaki
tt0120689,Frank Darabont
tt6751668,Bong Joon Ho
tt0816692,Christopher Nolan
tt8503618,Thomas Kail
tt0110413,Luc Besson
tt0114814,Bryan Singer
tt0056058,Masaki Kobayashi
tt0110357,"Roger Allers, Rob Minkoff"
tt0088763,Robert Zemeckis
tt0253474,Roman Polanski
tt0103064,James Cameron
tt0120586,Tony Kaye
tt0027977,Charles Chaplin
tt0054215,Alfred Hitchcock
tt0172495,Ridley Scott
tt0021749,Charles Chaplin
tt0407887,Martin Scorsese
tt1675434,"Olivier Nakache, Éric Toledano"
tt2582802,Damien Chazelle
tt0482571,Christopher Nolan
tt0095327,Isao Takahata
tt0064116,Sergio Leone
tt0034583,Michael Curtiz
tt0095765,Giuseppe Tornatore
tt0047396,Alfred Hitchcock
tt0078748,Ridley Scott
tt0078788,Francis Ford Coppola
tt0209144,Christopher Nolan
tt0082971,Steven Spielberg
tt0032553,Charles Chaplin
tt7286456,Todd Phillips
tt1853728,Quentin Tarantino
tt0405094,Florian Henckel von Donnersmarck
tt0050825,Stanley Kubrick
tt0081505,Stanley Kubrick
tt0910970,Andrew Stanton
tt4154756,"Anthony Russo, Joe Russo"
tt0043014,Billy Wilder
tt0119698,Hayao Miyazaki
tt0051201,Billy Wilder
tt4633694,"Bob Persichetti, Peter Ramsey, Rodney Rothman"
tt0057012,Stanley Kubrick
tt0364569,Chan-wook Park
tt1345836,Christopher Nolan
tt0087843,Sergio Leone
tt4154796,"Anthony Russo, Joe Russo"
tt0090605,James Cameron
tt6033368,Megumi Shiraishi
tt2380307,"Lee Unkrich, Adrian Molina(co-director)"
tt0169547,Sam Mendes
tt0112573,Mel Gibson
tt1187043,Rajkumar Hirani
tt0082096,Wolfgang Petersen
tt0114709,John Lasseter
tt0057565,Akira Kurosawa
tt0086879,Milos Forman
,
tt0086190,Richard Marquand
tt0361748,Quentin Tarantino
tt0105236,Quentin Tarantino
tt0119217,Gus Van Sant
,
tt0062622,Stanley Kubrick
tt0180093,Darren Aronofsky
tt0052357,Alfred Hitchcock
tt0022100,Fritz Lang
tt5074352,Nitesh Tiwari
tt8579674,Sam Mendes
tt0338013,Michel Gondry
tt2106476,Thomas Vinterberg
tt0033467,Orson Welles
tt0093058,Stanley Kubrick
tt0040522,Vittorio De Sica
tt0012349,Charles Chaplin
tt0066921,Stanley Kubrick
tt0053125,Alfred Hitchcock
tt0208092,Guy Ritchie
tt0045152,"Stanley Donen, Gene Kelly"
tt0086250,Brian De Palma
tt0075314,Martin Scorsese
tt0211915,Jean-Pierre Jeunet
tt0056172,David Lean
tt0044741,Akira Kurosawa
tt0435761,Lee Unkrich
tt0070735,George Roy Hill
tt0017136,Fritz Lang
tt1832382,Asghar Farhadi
tt0059578,Sergio Leone
tt1255953,Denis Villeneuve
tt0053604,Billy Wilder
tt0036775,Billy Wilder
tt0056592,Robert Mulligan
tt0091251,Elem Klimov
tt0097576,Steven Spielberg
tt1049413,"Pete Docter, Bob Peterson(co-director)"
tt2095684,Babis Makridis
tt0113277,Michael Mann
tt0071853,"Terry Gilliam, Terry Jones"
tt0095016,John McTiernan
tt2759632,Shinzo Yoshida
tt0066763,Hrishikesh Mukherjee
tt0055630,Akira Kurosawa
tt0372784,Christopher Nolan
tt6966692,Peter Farrelly
tt0363163,Oliver Hirschbiegel
tt0118849,Majid Majidi
tt0105695,Clint Eastwood
tt0053291,Billy Wilder
tt0089881,Akira Kurosawa
tt0347149,Hayao Miyazaki
tt0268978,Ron Howard
tt0057115,John Sturges
tt0042192,Joseph L. Mankiewicz
tt0112641,Martin Scorsese
tt0457430,Guillermo del Toro
tt0993846,Martin Scorsese
tt1305806,Juan José Campanella
tt0120735,Guy Ritchie
tt0096283,Hayao Miyazaki
tt0081398,Martin Scorsese
tt0469494,Paul Thomas Anderson
tt0055031,Stanley Kramer
tt0040897,John Huston
,
tt5027774,Martin McDonagh
tt0046912,Alfred Hitchcock
tt0015864,Charles Chaplin
tt0071315,Roman Polanski
tt0434409,James McTeigue
tt0477348,"Ethan Coen, Joel Coen"
tt1130884,Martin Scorsese
tt0050976,Ingmar Bergman
tt2096673,"Pete Docter, Ronnie Del Carmen(co-director)"
tt1291584,Gavin O'Connor
tt0080678,David Lynch
tt0117951,Danny Boyle
tt0167404,M. Night Shyamalan
tt0084787,John Carpenter
tt0107290,Steven Spielberg
tt0031381,"Victor Fleming, George Cukor, Sam Wood"
tt0050986,Ingmar Bergman
tt0083658,Ridley Scott
tt0266543,"Andrew Stanton, Lee Unkrich(co-director)"
